keys,ru
QUOTE_PED_CURSE_RUNNER_01,Мешаешь пробежке!
QUOTE_PED_CURSE_RUNNER_02,"Куда несёшься, тут беговая дорожка?!"
QUOTE_PED_CURSE_RUNNER_03,Сбил мне весь темп!
QUOTE_PED_CURSE_RUNNER_04,"Смотри под колёса, бегунов не видишь?!"
QUOTE_PED_CURSE_RUNNER_05,Чуть кроссовки не отдавил!
QUOTE_PED_CURSE_RUNNER_06,"Эй, притормози, я на рекорд иду!"
QUOTE_PED_CURSE_RUNNER_07,"Глаза разуй, тут люди тренируются!"
QUOTE_PED_CURSE_SIDEWALK_01,"Эй, это тротуар, а не дорога!"
QUOTE_PED_CURSE_SIDEWALK_02,"Куда на тротуар заехал, джигит?!"
QUOTE_PED_CURSE_SIDEWALK_03,"Тут люди гуляют, а ты прёшь по газону!"
QUOTE_PED_CURSE_SIDEWALK_04,"Слышь, тротуар для пешеходов, а не для твоей колымаги!"
QUOTE_PED_CURSE_SIDEWALK_05,"Вай, на тротуар заехал, совсем страх потерял!"
QUOTE_PED_CURSE_SIDEWALK_06,"Тут санаторий, а не автодром!"
QUOTE_PED_CURSE_SIDEWALK_07,"Эй, на газон не заезжай, тут курортники отдыхают!"
QUOTE_PED_CURSE_STUDENT_01,"Осторожнее, я конспект нёс!"
QUOTE_PED_CURSE_STUDENT_02,"Ты что творишь, у меня зачёт сегодня?!"
QUOTE_PED_CURSE_STUDENT_03,Чуть зачётку не растоптал!
QUOTE_PED_CURSE_STUDENT_04,"Куда летишь, я на пару опаздываю?!"
QUOTE_PED_CURSE_STUDENT_05,"Водить научись, двоечник!"
QUOTE_PED_CURSE_STUDENT_06,"Смотри куда едешь, права купил?!"
QUOTE_PED_CURSE_STUDENT_07,"Эй, шумахер, стипендию мою оплатишь?!"
QUOTE_PED_CURSE_TOURIST_01,"Осторожно, турист!"
QUOTE_PED_CURSE_TOURIST_02,Это что за курортный сервис такой?!
QUOTE_PED_CURSE_TOURIST_03,Чуть фотоаппарат не разбил!
QUOTE_PED_CURSE_TOURIST_04,Беспредел на курорте!
QUOTE_PED_CURSE_TOURIST_05,"Вы куда гоните, тут отдыхающие!"
QUOTE_PED_CURSE_TOURIST_06,"Полиция, меня чуть не сбили!"
QUOTE_PED_CURSE_TOURIST_07,Я жалобу в министерство туризма напишу!
QUOTE_PED_CURSE_WORKER_01,"Эй, чуть инструмент не раздавил!"
QUOTE_PED_CURSE_WORKER_02,"Ты куда прёшь, я тут работаю!"
QUOTE_PED_CURSE_WORKER_03,"Слышь, шумахер, тут люди ходят!"
QUOTE_PED_CURSE_WORKER_04,"Чуть каску не сбил, джигит!"
QUOTE_PED_CURSE_WORKER_05,"Эй, тормози, я тут не на трассе!"
QUOTE_PED_CURSE_WORKER_06,"Куда гонишь, тут же рабочие!"
QUOTE_PED_ELDER_01,"Эх, в мои годы тут трамвай ходил..."
QUOTE_PED_ELDER_02,"Молодёжь нынче не та, совсем не та!"
QUOTE_PED_ELDER_03,На Машук в мои годы пешком поднимался!
QUOTE_PED_ELDER_04,Вот раньше нарзан бесплатно наливали...
QUOTE_PED_ELDER_05,"Эх, здоровье уже не то, а курорт — вечный!"
QUOTE_PED_ELDER_06,"Помню, тут ещё до войны санаторий был!"
QUOTE_PED_ELDER_07,"Внуки вон в телефоне сидят, а я гуляю!"
QUOTE_PED_ELDER_08,"Слышь, сынок, не гони так, жизнь одна!"
QUOTE_PED_ELDER_09,"В Пятигорске я всю жизнь прожил, всё знаю!"
QUOTE_PED_ELDER_10,"Эх, сейчас бы в шахматы с дедом на лавочке..."
QUOTE_PED_GOPNIK_01,"Слышь, че встал-то?"
QUOTE_PED_GOPNIK_02,Закурить не найдётся?
QUOTE_PED_GOPNIK_03,Пятёрочку на бутер...
QUOTE_PED_GOPNIK_04,"Чё, братан, по-быстрому?"
QUOTE_PED_GOPNIK_05,На районе всё спокойно.
QUOTE_PED_GOPNIK_06,"Слышь, мелочи не звякнет?"
QUOTE_PED_GOPNIK_07,С пацанами на лавочке сидим...
QUOTE_PED_GRANDMA_01,"Ох, спина моя..."
QUOTE_PED_GRANDMA_02,Молодёжь нынче гоняет...
QUOTE_PED_GRANDMA_03,Дай дорогу бабушке!
QUOTE_PED_GRANDMA_04,В поликлинику бы без очереди попасть...
QUOTE_PED_GRANDMA_05,Опять цены на рынке подняли...
QUOTE_PED_GRANDMA_06,Травки от давления надо купить...
QUOTE_PED_GRANDMA_07,"Эх, внучатам бы пирожков напечь..."
QUOTE_PED_IDLE_01,Пятигорск сегодня прекрасен!
QUOTE_PED_IDLE_02,"Эх, успеть бы на 1-ю маршрутку..."
QUOTE_PED_IDLE_03,Опять на Галерее пробка...
QUOTE_PED_IDLE_04,На Машуке сегодня туман красивый
QUOTE_PED_IDLE_05,"Вай, какой воздух на КМВ!"
QUOTE_PED_IDLE_06,Надо зайти нарзана попить...
QUOTE_PED_IDLE_07,Где здесь ближайшая аптека?
QUOTE_PED_IDLE_08,Такси в городе стали быстрее...
QUOTE_PED_IDLE_09,В Цветнике опять розы цветут!
QUOTE_PED_IDLE_10,Пятигорский курорт — лучший в мире!
QUOTE_PED_IDLE_11,На Провале Остап Бендер стоял!
QUOTE_PED_IDLE_12,"Эх, сейчас бы чебурек горячий да с нарзанчиком..."
QUOTE_PED_IDLE_13,На проспекте Кирова сегодня красота!
QUOTE_PED_IDLE_14,"В Ессентуках вода солонее, а в Пятигорске — лучше!"
QUOTE_PED_IDLE_15,Опять на Верхнем рынке пробка из Приор...
QUOTE_PED_IDLE_16,"Курортники приехали, в Цветнике места не найдешь!"
QUOTE_PED_IDLE_17,Какая панорама на Бештау открывается!
QUOTE_PED_IDLE_18,Шашлычком со стороны Бештаугорского пахнет...
QUOTE_PED_IDLE_19,Эолова арфа сегодня так красиво поёт на ветру!
QUOTE_PED_IDLE_20,Вот бы на подъемнике на Машук подняться...
QUOTE_PED_IDLE_21,В Пятигорске воздух — хоть в банки закатывай!
QUOTE_PED_IDLE_22,"Эх, сейчас бы на Горячую гору сходить..."
QUOTE_PED_IDLE_23,"Говорят, на Бештау сегодня облака как вата!"
QUOTE_PED_IDLE_24,Надо бы на рынок за свежими пирожками...
QUOTE_PED_IDLE_25,"Вай, как хорошо, что я не водитель в этой пробке!"
QUOTE_PED_IDLE_26,"Слышал, на Провале опять очередь из туристов!"
QUOTE_PED_IDLE_27,Курортный сезон — самое время для нарзана!
QUOTE_PED_IDLE_28,"Эх, вечером бы на смотровую, на закат..."
QUOTE_PED_IDLE_29,В Пятигорске даже дождь — это атмосфера!
QUOTE_PED_KICK_01,На нах! Ездить научись!
QUOTE_PED_KICK_02,"Получи, ведро с болтами!"
QUOTE_PED_KICK_03,Вот тебе за подрез!
QUOTE_PED_KICK_04,Ещё раз подрежешь — колесо откручу!
QUOTE_PED_KICK_05,"Вот тебе по дверям, чтобы поворотники включал!"
QUOTE_PED_KICK_06,"На нах! Будешь знать, как подрезать пешеходов!"
QUOTE_PED_KICK_07,"Получи в бампер, джигит комнатный!"
QUOTE_PED_KICK_08,Ещё раз так проедешь — зеркало оторву!
QUOTE_PED_KICK_09,Вот тебе мятина на память от Пятигорска!
QUOTE_PED_KICK_10,"На нах! Будешь знать, как по тротуару гонять!"
QUOTE_PED_KICK_11,"Получи за то, что чуть не задавил!"
QUOTE_PED_KICK_12,"Вот тебе, чтобы на красный не летал!"
QUOTE_PED_KICK_13,Ещё раз так проедешь — весь бампер разберу!
QUOTE_PED_MOM_01,"Тише, малыш, сейчас домой пойдём..."
QUOTE_PED_MOM_02,"Ой, какой воздух, хорошо ребёнку!"
QUOTE_PED_MOM_03,"Надо бы в парк, на солнышко..."
QUOTE_PED_MOM_04,"Спи, моя хорошая, спи..."
QUOTE_PED_MOM_05,Вот бы коляску по ровной дорожке...
QUOTE_PED_MOM_06,"В Цветнике так красиво, пойдём гулять!"
QUOTE_PED_MOM_07,"Осторожно, тут машины ездят!"
QUOTE_PED_MOM_08,"Малыш, смотри, какая птичка!"
QUOTE_PED_MOM_09,Надо молока купить и домой...
QUOTE_PED_MOM_10,"Эх, выспаться бы хоть разок..."
QUOTE_PED_MUSICIAN_01,"Эх, сейчас бы заиграть на закате..."
QUOTE_PED_MUSICIAN_02,Музыка — это жизнь!
QUOTE_PED_MUSICIAN_03,Вот бы кто-нибудь в шляпу монетку кинул...
QUOTE_PED_MUSICIAN_04,"Эх, аккордеон мой старый, верный друг..."
QUOTE_PED_MUSICIAN_05,В Пятигорске так вдохновенно играется!
QUOTE_PED_MUSICIAN_06,"Слышь, мелодия сама в голове крутится..."
QUOTE_PED_MUSICIAN_07,"Эх, сейчас бы на смотровой сыграть..."
QUOTE_PED_MUSICIAN_08,"Музыка лечит душу, точно говорю!"
QUOTE_PED_MUSICIAN_09,Вот бы в филармонию позвали...
QUOTE_PED_MUSICIAN_10,"Эх, народ сегодня щедрый, дай бог!"
QUOTE_PED_NURSE_01,"Эх, смена в санатории была долгая..."
QUOTE_PED_NURSE_02,Надо бы давление проверить...
QUOTE_PED_NURSE_03,Вот бы отпуск на море...
QUOTE_PED_NURSE_04,Пациенты сегодня капризные...
QUOTE_PED_NURSE_05,"Эх, устала, но работа важная!"
QUOTE_PED_NURSE_06,Надо бы в аптеку за витаминами...
QUOTE_PED_NURSE_07,В Пятигорске лечиться — одно удовольствие!
QUOTE_PED_NURSE_08,"Слышь, здоровье — главное!"
QUOTE_PED_NURSE_09,"Эх, сейчас бы чайку с ромашкой..."
QUOTE_PED_NURSE_10,Надо бы на процедуры успеть...
QUOTE_PED_PUNCH_FLEE_BUSINESS_01,Я тебя засужу! Хулиганство!
QUOTE_PED_PUNCH_FLEE_BUSINESS_02,"Ты знаешь, кто я такой?! Охрана, полиция!"
QUOTE_PED_PUNCH_FLEE_BUSINESS_03,"Нападение! В суд подам, за решётку сядешь!"
QUOTE_PED_PUNCH_FLEE_BUSINESS_04,Ты за это ответишь по закону! Ухожу!
QUOTE_PED_PUNCH_FLEE_DEFAULT_01,"Ай, больно! Ухожу, псих!"
QUOTE_PED_PUNCH_FLEE_DEFAULT_02,Хулиган! Не свяжусь с неадекватом!
QUOTE_PED_PUNCH_FLEE_DEFAULT_03,"Помогите, хулиганы среди бела дня!"
QUOTE_PED_PUNCH_FLEE_DEFAULT_04,Милиция! Нападение!
QUOTE_PED_PUNCH_FLEE_DEFAULT_05,Ты с ума сошёл?! Караул!
QUOTE_PED_PUNCH_FLEE_DEFAULT_06,Ааах! Бьют средь бела дня!
QUOTE_PED_PUNCH_FLEE_ELDER_01,Полиция! Хулиганы среди бела дня!
QUOTE_PED_PUNCH_FLEE_ELDER_02,"Милиция, спасите! Бьют деда!"
QUOTE_PED_PUNCH_FLEE_ELDER_03,"Ироды, средь бела дня нападают!"
QUOTE_PED_PUNCH_FLEE_ELDER_04,Хулиган! Полицию зовите!
QUOTE_PED_PUNCH_FLEE_ELDER_05,"Ох, за что старика-то?! Не свяжусь!"
QUOTE_PED_PUNCH_FLEE_ELDER_06,"Ай, больно! Ухожу от греха подальше!"
QUOTE_PED_PUNCH_FLEE_GOPNIK_01,"Ты чё, псих?! Я ща пацанов с района подтяну!"
QUOTE_PED_PUNCH_FLEE_GOPNIK_02,"Ща пацанов позову, тебе хана!"
QUOTE_PED_PUNCH_FLEE_GOPNIK_03,"Погоди у меня, я с толпой вернусь!"
QUOTE_PED_PUNCH_FLEE_GOPNIK_04,"Ненормальный какой-то! Ухожу, но мы ещё увидимся!"
QUOTE_PED_PUNCH_FLEE_MOM_01,Караул! Бандиты на улице!
QUOTE_PED_PUNCH_FLEE_MOM_02,"Что вы творите, тут ребёнок?! Помогите!"
QUOTE_PED_PUNCH_FLEE_MOM_03,Помогите! Хулиганы нападают!
QUOTE_PED_PUNCH_FLEE_MOM_04,"Ухожу, не трогай ребёнка, псих!"
QUOTE_PED_PUNCH_FLEE_TOURIST_01,Какой кошмар! Нападение на туриста!
QUOTE_PED_PUNCH_FLEE_TOURIST_02,"Помогите, полиция! Беспредел на курорте!"
QUOTE_PED_PUNCH_FLEE_TOURIST_03,Никакого курортного сервиса! Спасите!
QUOTE_PED_PUNCH_FLEE_TOURIST_04,"Спасите, маньяк в парке! Бежим!"
QUOTE_PED_PUNCH_FLEE_WORKER_01,"Слышь, ошалел совсем?! Ментов вызову!"
QUOTE_PED_PUNCH_FLEE_WORKER_02,"Ты чё творишь, псих?! Не свяжусь!"
QUOTE_PED_PUNCH_FLEE_WORKER_03,"Совсем с катушек съехал, психопат!"
QUOTE_PED_PUNCH_FLEE_WORKER_04,"Кулаками машет, ненормальный! Ухожу!"
QUOTE_PED_PUNCH_RETALIATE_BUSINESS_01,"Ты на кого полез, быдло?! На!"
QUOTE_PED_PUNCH_RETALIATE_BUSINESS_02,Руки убрал! Вот тебе за костюм!
QUOTE_PED_PUNCH_RETALIATE_BUSINESS_03,"Ты зачем полез, неадекват?! Получи!"
QUOTE_PED_PUNCH_RETALIATE_BUSINESS_04,Ща сам в нокаут улетишь!
QUOTE_PED_PUNCH_RETALIATE_DEFAULT_01,Получи в ответ!
QUOTE_PED_PUNCH_RETALIATE_DEFAULT_02,Ща сам ляжешь!
QUOTE_PED_PUNCH_RETALIATE_DEFAULT_03,Ты зачем полез?! На!
QUOTE_PED_PUNCH_RETALIATE_DEFAULT_04,"Держи сдачу, хулиган!"
QUOTE_PED_PUNCH_RETALIATE_DEFAULT_05,Кулаками махать вздумал?! На нах!
QUOTE_PED_PUNCH_RETALIATE_DEFAULT_06,А вот это обратно лови!
QUOTE_PED_PUNCH_RETALIATE_ELDER_01,"Ишь ты, на деда полез?! Вот тебе тростью!"
QUOTE_PED_PUNCH_RETALIATE_ELDER_02,"Я ещё крепкий, хулиган! Получи!"
QUOTE_PED_PUNCH_RETALIATE_ELDER_03,"Вот тебе за старика, негодяй!"
QUOTE_PED_PUNCH_RETALIATE_ELDER_04,У нас в молодости таких учили! На!
QUOTE_PED_PUNCH_RETALIATE_GOPNIK_01,"Ты кого тронул, вася?! На нах!"
QUOTE_PED_PUNCH_RETALIATE_GOPNIK_02,"Ты чё, попутал, джигит?! Ща сам ляжешь!"
QUOTE_PED_PUNCH_RETALIATE_GOPNIK_03,Ты на кого руку поднял?! Получи в ответ!
QUOTE_PED_PUNCH_RETALIATE_GOPNIK_04,"Слышь, ты щас сам ляжешь! Держи!"
QUOTE_PED_PUNCH_RETALIATE_GOPNIK_05,"Получи сдачу, самый смелый?!"
QUOTE_PED_PUNCH_RETALIATE_MOM_01,"Ты кого тронул, урод?! Получи!"
QUOTE_PED_PUNCH_RETALIATE_MOM_02,Не смей подходить! На нах!
QUOTE_PED_PUNCH_RETALIATE_MOM_03,"Вот тебе, скотина, чтоб не лез!"
QUOTE_PED_PUNCH_RETALIATE_TOURIST_01,Это тебе не санаторий! Получи!
QUOTE_PED_PUNCH_RETALIATE_TOURIST_02,На курорте драться вздумал?! На нах!
QUOTE_PED_PUNCH_RETALIATE_TOURIST_03,Я за себя постою! Держи сдачу!
QUOTE_PED_PUNCH_RETALIATE_WORKER_01,Ща как дам в ответ! Получи!
QUOTE_PED_PUNCH_RETALIATE_WORKER_02,"Ты чё творишь, кулаками машешь?! На нах!"
QUOTE_PED_PUNCH_RETALIATE_WORKER_03,"Слышь, ошалел?! Получи сдачу!"
QUOTE_PED_PUNCH_RETALIATE_WORKER_04,"У меня рука тяжёлая, держи ответочку!"
QUOTE_PED_PUNCH_WITNESS_01,Драка! Бежим!
QUOTE_PED_PUNCH_WITNESS_02,"Караул, псих на улице!"
QUOTE_PED_PUNCH_WITNESS_03,Спасите! Бьют людей!
QUOTE_PED_PUNCH_WITNESS_04,"Милиция, помогите!"
QUOTE_PED_PUNCH_WITNESS_05,"Бежим, тут неадекват!"
QUOTE_PED_RUNNER_01,Ноги — моё всё!
QUOTE_PED_RUNNER_02,Опоздаю на электричку!
QUOTE_PED_RUNNER_03,Ещё круг и домой...
QUOTE_PED_RUNNER_04,Главное — темп держать!
QUOTE_PED_RUNNER_05,Утренняя пробежка — заряд на день!
QUOTE_PED_RUNNER_06,"Дыхание ровное, пульс в норме..."
QUOTE_PED_RUNNER_07,Вокруг Машука бы пробежаться...
QUOTE_PED_SHOUT_01,"Э, вася, куда прешь, права в Ессентуках купил?!"
QUOTE_PED_SHOUT_02,"Слышь, тут пешеходный переход вообще-то!"
QUOTE_PED_SHOUT_03,Осторожней! У меня нарзан прольется!
QUOTE_PED_SHOUT_04,"Эй, Шумахер, разуй глаза!"
QUOTE_PED_SHOUT_05,"Вася, тормоза придумали для кого?!"
QUOTE_PED_SHOUT_06,"Вах, за что-о-о?!"
QUOTE_PED_SHOUT_07,Понакупали прав на Машуке!
QUOTE_PED_SHOUT_08,"Смотри куда рулишь, олень!"
QUOTE_PED_SHOUT_09,Тут люди на курорте отдых проводят!
QUOTE_PED_SHOUT_10,Чуть не сбил! Полиция-а-а!
QUOTE_PED_SHOUT_11,"Э, джигит, на тротуар не заезжай!"
QUOTE_PED_SHOUT_12,"Слышь, фары включи, ночь на дворе!"
QUOTE_PED_SHOUT_13,Ничего себе полетел! На Бештау спешишь?!
QUOTE_PED_SHOUT_14,"Куда ты прешь, тут же люди с санатория идут!"
QUOTE_PED_SHOUT_15,"Осторожно, шашлык из рук уронил!"
QUOTE_PED_SHOUT_16,"Вот это гонщик, мамой клянусь!"
QUOTE_PED_SHOUT_17,"Эй, шеф, ты на Приоре или на самолёте?!"
QUOTE_PED_SHOUT_18,"Мамой клянусь, чуть сандали не слетели!"
QUOTE_PED_SHOUT_19,"Слышь, на зебре люди идут, а не кегли!"
QUOTE_PED_SHOUT_20,"Вай, мааа! Куда так лететь, за чебуреками?!"
QUOTE_PED_SHOUT_21,Ты б ещё на Провал заехал на своей калымаге!
QUOTE_PED_SHOUT_22,"Где тебя водить учили, в Лермонтове?!"
QUOTE_PED_SHOUT_23,"Елки-палки, чудом отпрыгнуть успел!"
QUOTE_PED_SHOUT_24,"Э, дорогой, поворотники для кого придумали?!"
QUOTE_PED_SHOUT_25,"Смотри, шашлычника чуть не переехал!"
QUOTE_PED_SHOUT_26,Твою ж... На курорте даже дорогу спокойно не перейти!
QUOTE_PED_SHOUT_27,"Ты что, на Цветнике права получал?!"
QUOTE_PED_SHOUT_28,"Потише рули, у меня минералка в пакете закипела!"
QUOTE_PED_SHOUT_29,"Куда прешь, джигит недоделанный?!"
QUOTE_PED_SHOUT_30,"Вай, полиция! Этот таксист с ума сошёл!"
QUOTE_PED_SHOUT_31,"Слышь, тормози! Мы тут нарзан пьём, а не в ралли играем!"
QUOTE_PED_SHOUT_32,"Баран на педалях, разуй глаза!"
QUOTE_PED_SHOUT_33,У меня от твоих виражей кепка с головы слетела!
QUOTE_PED_SHOUT_34,"Эй, гонщик, до Бештау пешком дойдёшь с такой ездой!"
QUOTE_PED_STUDENT_01,Сессия скоро...
QUOTE_PED_STUDENT_02,"На пары бегу, препод злой..."
QUOTE_PED_STUDENT_03,Курить и учиться — оба вредно...
QUOTE_PED_STUDENT_04,Где бы конспект по матану достать?
QUOTE_PED_STUDENT_05,Стипуху бы поскорее выплатили...
QUOTE_PED_STUDENT_06,Опять в общаге до утра сидели...
QUOTE_PED_STUDENT_07,Только бы зачёт автоматом поставили...
QUOTE_PED_TOURIST_01,А где тут нарзан?
QUOTE_PED_TOURIST_02,Как пройти к Провалу?
QUOTE_PED_TOURIST_03,Красивый у вас Пятигорск!
QUOTE_PED_TOURIST_04,Надо сфотографироваться у орла!
QUOTE_PED_TOURIST_05,Воздух здесь невероятный!
QUOTE_PED_TOURIST_06,А где тут дача Эльзы?
QUOTE_PED_TOURIST_07,"Вай, какой вид на Бештау открывается!"
QUOTE_PED_WORKER_01,"Эх, смена тяжёлая была..."
QUOTE_PED_WORKER_02,"Надо бы в столовую, перекусить..."
QUOTE_PED_WORKER_03,"Слышь, асфальт тут опять кладут..."
QUOTE_PED_WORKER_04,"Работа — не волк, в лес не убежит!"
QUOTE_PED_WORKER_05,"Эх, сейчас бы холодненького..."
QUOTE_PED_WORKER_06,Надо инструмент в порядок привести...
QUOTE_PED_WORKER_07,Смена кончилась — можно и отдохнуть!
QUOTE_PED_WORKER_08,Вот бы премию дали в этом месяце...
QUOTE_PED_WORKER_09,"Эх, спина болит после работы..."
QUOTE_PED_WORKER_10,Надо бы на рынок за продуктами...
QUOTE_WEATHER_CLEAR_01,Какая ясная погода! Машук и Бештау как на ладони видно!
QUOTE_WEATHER_CLEAR_02,"Солнышко пригревает, настоящий курортный денёк!"
QUOTE_WEATHER_CLEAR_03,"Красота на улице, благодать! Окошко приоткроем с ветерком?"
QUOTE_WEATHER_CLEAR_04,"В такую ясную погоду грех пешком не гулять, но на такси быстрее!"
QUOTE_WEATHER_CLEAR_05,"Жара начинается! Кондиционер в норме, шеф?"
QUOTE_WEATHER_CLEAR_06,"Небо чистое, ни облачка над Пятигорском. Отличный день для поездки!"
QUOTE_WEATHER_CLEAR_07,Солнце шпарит! Довези до тенечка у нарзанной галереи!
QUOTE_WEATHER_FOG_01,"Ого, какой туман с Машука спустился! Ничего не видно, аккуратнее!"
QUOTE_WEATHER_FOG_02,"Пятигорск как в молоке! Едем по приборам, шеф?"
QUOTE_WEATHER_FOG_03,"В пяти метрах ничего не видать... Фары включил, командир?"
QUOTE_WEATHER_FOG_04,Вот это туманище наполз с гор! Главное в чей-то бампер не приехать.
QUOTE_WEATHER_FOG_05,"Мистическая атмосфера сегодня в городе, прямо как в романах Лермонтова!"
QUOTE_WEATHER_FOG_06,"Осторожнее на серпантине, в таком тумане обочину легко потерять!"
QUOTE_WEATHER_FOG_07,"Густой туман какой... Ты дорогу наизусть знаешь, надеюсь?"
QUOTE_WEATHER_RAIN_01,"Хорошо, что вовремя такси поймал, а то ливень как из ведра!"
QUOTE_WEATHER_RAIN_02,"Ох и зарядил дождь! Хорошо, что зонт взял!"
QUOTE_WEATHER_RAIN_03,"Ну и погодка разгулялась! Вся обувь промокла, включай печку, шеф!"
QUOTE_WEATHER_RAIN_04,"Асфальт мокрый, скользит небось? Аккуратнее на поворотах, дорогой!"
QUOTE_WEATHER_RAIN_05,"С гор тучи надуло, сейчас весь Цветник затопит. Погнали скорее!"
QUOTE_WEATHER_RAIN_06,"Дождик курортникам не помеха, но на машине всё ж суше!"
QUOTE_WEATHER_RAIN_07,Дворники успевают справляться? Ничего не видно в такую сырость!
RADIO_CHANSON_GENRE,Душевный Блатняк
RADIO_CHANSON_NAME,Кавказ Шансон
RADIO_CHILLED_GENRE,Эмбиент Дезерт
RADIO_CHILLED_NAME,Ночной Курорт
RADIO_KAVKAZ_GENRE,Динамичный Этно-бит
RADIO_KAVKAZ_NAME,Кавказ Beat
RADIO_PYATIGORSK_GENRE,Лоу-фай Чилл
RADIO_PYATIGORSK_NAME,Пятигорск FM
RADIO_ROCK_GENRE,Драйвовый Рок
RADIO_ROCK_NAME,Бештау Rock & Drive
RADIO_SYNTH_GENRE,Ретровейв / Синт
RADIO_SYNTH_NAME,Машук Synth 80s
REVIEW_1_01,"Это не такси, а экстрим!"
REVIEW_1_02,"Ужас, чуть не разбились!"
REVIEW_1_03,Пешком быстрее и безопаснее!
REVIEW_2_01,"Укачало всего, на горках подлетали"
REVIEW_2_02,"Грязюка в салоне, чаевых не дам"
REVIEW_3_01,Бывало и лучше...
REVIEW_3_02,"Резковато едешь, брат"
REVIEW_3_03,Машина как из-под трактора
REVIEW_4_01,"Норм поездка, но газку сбрасывай на поворотах"
REVIEW_4_02,"Хорошо, только помыл бы машину"
REVIEW_4_03,"Почти идеально, мелочи"
REVIEW_5_01,Долетели как на крыльях!
REVIEW_5_02,"Идеально, лучший водитель Пятигорска!"
REVIEW_5_03,"Чистая машина, вежливый водитель — 5 звёзд!"
REVIEW_5_04,"Такое впечатление, что летели!"
TUNING_COLOR_БЕЛЫЙ,Белый
TUNING_COLOR_ЗЕЛЁНЫЙ,Зелёный
TUNING_COLOR_КРАСНЫЙ,Красный
TUNING_COLOR_ОРАНЖЕВЫЙ,Оранжевый
TUNING_COLOR_СИНИЙ,Синий
TUNING_COLOR_ТАКСИ_ЖЁЛТЫЙ,Такси жёлтый
TUNING_COLOR_ЧЁРНЫЙ,Чёрный
TUNING_DECAL_CHECKER,Шашечки
TUNING_DECAL_NONE,Нет
TUNING_DECAL_RACING,Гоночная
TUNING_DECAL_STRIPE,Полоса
TUNING_KIT_SPORT,Спорт
TUNING_KIT_STOCK,Стандарт
TUNING_RIM_CHROME,Хром
TUNING_RIM_DISC,Стандарт
TUNING_RIM_SPOKE,Спицы
UPGRADE_ARMOR_DESC,Бронированный как сейф банка на Кирова — тарань смело
UPGRADE_ARMOR_NAME,Прочность
UPGRADE_BRAKES_DESC,Керамика Brembo — встаёт как вкопанная перед любой внезапной коровой
UPGRADE_BRAKES_NAME,Тормоза
UPGRADE_CAPACITY_DESC,"Весь двор помещается — бабушки, коляски и горы курортных чемоданов"
UPGRADE_CAPACITY_NAME,Вместимость
UPGRADE_ENGINE_DESC,"Чип-тюнинг от мастеров с Бештаугорского — турбина свистит, Приоры плачут"
UPGRADE_ENGINE_NAME,Двигатель
UPGRADE_SUSPENSION_DESC,Горная подвеска — шпильки серпантина Машука проходим без крена
UPGRADE_SUSPENSION_NAME,Подвеска
UPGRADE_TANK_DESC,Бак размером с нарзанную цистерну — до Минвод без остановки
UPGRADE_TANK_NAME,Бак
WEATHER_CLEAR_NAME,Ясно
WEATHER_FOG_NAME,Туман
WEATHER_RAIN_NAME,Дождь
